Tag;Code_test;Separation;Position;Time;Date_Time;Date;Time2;factor_aleatorio; Second_day;satellites ; Battery_Level;Distance; Accuracy ; Clock_Offset
20844;58;NO;A_VHF;13:00:21;18/03/2020 13:00;18/03/2020;13:00;18/03/20_13:00;46821260;8;4.2;6.557598;3.92E-06;1355
20844;58;NO;A_VHF;13:30:21;18/03/2020 13:30;18/03/2020;13:30;18/03/20_13:30;48621425;8;4.2;12.985972;2.16E-06;1335
20844;58;NO;A_VHF;14:00:21;18/03/2020 14:00;18/03/2020;14:00;18/03/20_14:00;50421225;6;4.2;5.094961;2.05E-06;1315
20844;58;NO;A_VHF;14:30:21;18/03/2020 14:30;18/03/2020;14:30;18/03/20_14:30;52221375;8;4.2;11.548645;2.82E-06;1290
20844;58;NO;A_VHF;15:00:21;18/03/2020 15:00;18/03/2020;15:00;18/03/20_15:00;54021160;7;4.18;7.32645;1.50E-06;1255
20844;58;NO;A_VHF;15:30:21;18/03/2020 15:30;18/03/2020;15:30;18/03/20_15:30;55821345;7;4.18;13.824307;2.90E-06;1235
20844;58;NO;A_VHF;16:00:21;18/03/2020 16:00;18/03/2020;16:00;18/03/20_16:00;57621135;7;4.18;9.45642;3.12E-06;1230
20844;58;NO;A_VHF;16:30:21;18/03/2020 16:30;18/03/2020;16:30;18/03/20_16:30;59421310;7;4.18;9.190234;3.26E-06;1220
20844;58;NO;A_VHF;17:00:21;18/03/2020 17:00;18/03/2020;17:00;18/03/20_17:00;61221100;7;4.18;7.8879;5.64E-06;1200
20844;58;NO;A_VHF;17:30:21;18/03/2020 17:30;18/03/2020;17:30;18/03/20_17:30;63021290;6;4.18;4.509579;3.32E-06;1185
20844;58;NO;A_VHF;18:00:21;18/03/2020 18:00;18/03/2020;18:00;18/03/20_18:00;64821085;7;4.18;3.968829;1.24E-06;1180
20844;58;NO;A_VHF;18:30:21;18/03/2020 18:30;18/03/2020;18:30;18/03/20_18:30;66621280;7;4.16;5.491969;1.84E-06;1180
20844;58;NO;A_VHF;19:00:21;18/03/2020 19:00;18/03/2020;19:00;18/03/20_19:00;68421080;7;4.16;6.120485;6.09E-06;1180
20844;58;NO;A_VHF;19:30:21;18/03/2020 19:30;18/03/2020;19:30;18/03/20_19:30;70221300;8;4.16;12.506808;2.60E-06;1190
20844;58;NO;A_VHF;20:00:21;18/03/2020 20:00;18/03/2020;20:00;18/03/20_20:00;72021090;8;4.16;6.366347;6.01E-06;1200
20844;58;NO;A_VHF;20:30:21;18/03/2020 20:30;18/03/2020;20:30;18/03/20_20:30;73821280;10;4.16;10.193738;5.00E-06;1190
20844;52;NO;Paralelo;11:00:18;19/03/2020 11:00;19/03/2020;11:00;19/03/20_11:00;39618920;7;4.2;4.15224;4.77E-06;9999999
20844;52;NO;Paralelo;11:30:19;19/03/2020 11:30;19/03/2020;11:30;19/03/20_11:30;41419100;7;4.2;3.817862;4.47E-06;2010
20844;52;NO;Paralelo;12:00:18;19/03/2020 12:00;19/03/2020;12:00;19/03/20_12:00;43218880;8;4.18;5.379112;2.67E-06;2035
20844;52;NO;Paralelo;12:30:19;19/03/2020 12:30;19/03/2020;12:30;19/03/20_12:30;45019055;6;4.18;12.640295;1.53E-06;1980
20844;52;NO;Paralelo;13:00:18;19/03/2020 13:00;19/03/2020;13:00;19/03/20_13:00;46818840;6;4.18;12.994977;1.79E-06;1920
20844;52;NO;Paralelo;13:30:19;19/03/2020 13:30;19/03/2020;13:30;19/03/20_13:30;48619020;7;4.18;14.117772;4.83E-06;1900
20844;52;NO;Paralelo;14:00:18;19/03/2020 14:00;19/03/2020;14:00;19/03/20_14:00;50418770;5;4.18;39.612776;2.25E-07;1885
20844;52;NO;Paralelo;14:30:19;19/03/2020 14:30;19/03/2020;14:30;19/03/20_14:30;52219105;6;4.18;74.408024;1.82E-06;1930
20844;52;NO;Paralelo;15:00:18;19/03/2020 15:00;19/03/2020;15:00;19/03/20_15:00;54018740;6;4.18;19.054361;1.93E-06;1945
20844;52;NO;Paralelo;15:30:18;19/03/2020 15:30;19/03/2020;15:30;19/03/20_15:30;55818945;7;4.16;11.367726;5.71E-06;1850
20844;52;NO;Paralelo;16:00:18;19/03/2020 16:00;19/03/2020;16:00;19/03/20_16:00;57618740;6;4.16;9.201174;1.92E-06;1795
20844;52;NO;Paralelo;16:30:18;19/03/2020 16:30;19/03/2020;16:30;19/03/20_16:30;59418915;7;4.16;8.571709;3.96E-06;1800
20844;52;NO;Paralelo;17:00:18;19/03/2020 17:00;19/03/2020;17:00;19/03/20_17:00;61218720;6;4.16;11.8147;1.87E-06;1820
20844;52;NO;Paralelo;17:30:18;19/03/2020 17:30;19/03/2020;17:30;19/03/20_17:30;63018910;7;4.16;13.545052;2.83E-06;1825
20844;52;NO;Paralelo;18:00:18;19/03/2020 18:00;19/03/2020;18:00;19/03/20_18:00;64818725;6;4.14;20.59719;3.82E-07;1820
20844;52;NO;Paralelo;18:30:18;19/03/2020 18:30;19/03/2020;18:30;19/03/20_18:30;66618890;7;4.14;7.285362;4.47E-06;1805
20844;52;NO;Paralelo;19:00:18;19/03/2020 19:00;19/03/2020;19:00;19/03/20_19:00;68418685;7;4.14;9.342958;5.55E-06;1780
20844;52;NO;Paralelo;19:30:18;19/03/2020 19:30;19/03/2020;19:30;19/03/20_19:30;70218840;6;4.14;40.946402;1.52E-06;1750
20844;52;NO;Paralelo;20:00:18;19/03/2020 20:00;19/03/2020;20:00;19/03/20_20:00;72018700;8;4.14;8.910992;4.45E-06;1755
20844;52;NO;Paralelo;20:30:18;19/03/2020 20:30;19/03/2020;20:30;19/03/20_20:30;73818895;8;4.14;18.636386;5.58E-06;1800
20844;52;NO;Paralelo;21:00:18;19/03/2020 21:00;19/03/2020;21:00;19/03/20_21:00;75618690;8;4.12;9.200235;3.56E-06;1815
20844;52;NO;Paralelo;21:30:18;19/03/2020 21:30;19/03/2020;21:30;19/03/20_21:30;77418895;8;4.12;6.089635;3.95E-06;1800
20844;52;NO;Paralelo;22:00:18;19/03/2020 22:00;19/03/2020;22:00;19/03/20_22:00;79218710;6;4.14;17.366223;3.60E-06;1795
20844;52;NO;Paralelo;22:30:18;19/03/2020 22:30;19/03/2020;22:30;19/03/20_22:30;81018895;8;4.12;8.49509;2.80E-06;1800
20844;46;NO;Levantado;13:00:17;20/03/2020 13:00;20/03/2020;13:00;20/03/20_13:00;46817180;8;4.16;6.578593;4.84E-06;9999999
